CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4,Toxic,EPA_Category,Toxic_zones,EPA_zones,Integrated_zones,model,logLD50_mmolkg,Toxic(Exp),EPA_category(Exp)
98-59-9,0.938,0.388,0.612,0.01,0.148,0.804,0.038,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.39,0.0,3.0
122-72-5,1.266,0.865,0.135,0.007,0.022,0.688,0.284,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.421,0.0,3.0
24243-89-8,0.44,0.572,0.428,0.031,0.144,0.68,0.146,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.069,0.0,3.0
555-16-8,0.803,0.324,0.676,0.064,0.204,0.632,0.1,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.493,0.0,3.0
112-30-1,1.447,0.905,0.095,0.007,0.055,0.366,0.571,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.475,0.0,3.0
122-20-3,1.319,0.716,0.284,0.01,0.071,0.658,0.261,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.393,0.0,3.0
105-38-4,1.223,0.526,0.474,0.013,0.226,0.433,0.327,Nontoxic,EPA 3,InZone,InZone,InZone,Base Models,1.677,0.0,3.0
1331-11-9,1.468,0.814,0.186,0.011,0.03,0.634,0.326,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.609,0.0,3.0
24683-26-9,0.437,0.497,0.503,0.069,0.208,0.505,0.218,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.229,0.0,3.0
79-57-2,0.314,0.827,0.173,0.049,0.064,0.808,0.079,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.018,0.0,3.0
148-87-8,0.912,0.446,0.554,0.031,0.105,0.826,0.037,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.444,0.0,3.0
622-96-8,1.259,0.739,0.261,0.004,0.082,0.771,0.143,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.606,0.0,3.0
5888-33-5,0.846,0.674,0.326,0.015,0.139,0.475,0.372,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.371,0.0,3.0
142-64-3,1.221,0.233,0.767,0.043,0.084,0.838,0.035,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.755,0.0,3.0
98-83-9,1.141,0.669,0.331,0.015,0.082,0.74,0.163,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.618,0.0,3.0
101-07-5,1.021,0.479,0.521,0.005,0.068,0.724,0.203,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.236,0.0,3.0
1322-78-7,0.94,0.601,0.399,0.023,0.111,0.705,0.161,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.369,0.0,3.0
4126-70-9,0.982,0.68,0.32,0.019,0.189,0.488,0.305,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.386,0.0,3.0
620-92-8,1.005,0.67,0.33,0.008,0.068,0.812,0.113,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.393,0.0,3.0
109-42-2,1.204,0.791,0.209,0.008,0.068,0.379,0.545,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.318,0.0,4.0
1166-52-5,1.015,0.526,0.474,0.01,0.054,0.687,0.249,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.17,0.0,4.0
13021-50-6,1.37,0.821,0.179,0.005,0.023,0.669,0.302,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.489,0.0,4.0
140-27-2,1.203,0.896,0.104,0.004,0.037,0.32,0.64,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.36,0.0,4.0
15686-71-2,0.943,0.925,0.075,0.007,0.015,0.194,0.784,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.158,0.0,4.0
16195-77-0,1.203,0.865,0.135,0.008,0.028,0.434,0.53,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.233,0.0,4.0
18181-80-1,0.638,0.593,0.407,0.013,0.114,0.534,0.339,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.067,0.0,4.0
202483-62-3,0.859,0.68,0.32,0.012,0.108,0.462,0.417,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.141,0.0,4.0
23793-35-3,1.033,0.789,0.211,0.028,0.046,0.72,0.206,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.366,0.0,4.0
31098-20-1,0.703,0.426,0.574,0.039,0.209,0.512,0.24,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.411,0.0,4.0
34443-12-4,1.286,0.911,0.089,0.009,0.032,0.376,0.582,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.308,0.0,4.0
36653-82-4,1.528,0.916,0.084,0.004,0.031,0.23,0.735,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.314,0.0,4.0
3913-71-1,1.352,0.882,0.118,0.007,0.026,0.289,0.678,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.511,0.0,4.0
424-40-8,0.492,0.433,0.567,0.056,0.219,0.542,0.183,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.228,0.0,4.0
48145-04-6,0.921,0.555,0.445,0.005,0.081,0.724,0.19,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.415,0.0,4.0
5413-60-5,1.02,0.784,0.216,0.017,0.075,0.434,0.474,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,1.415,0.0,4.0
57018-04-9,0.141,0.1,0.9,0.076,0.416,0.485,0.023,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.22,0.0,4.0
590-01-2,1.679,0.931,0.069,0.005,0.016,0.178,0.801,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.584,0.0,4.0
6284-40-8,1.433,0.815,0.185,0.013,0.046,0.414,0.527,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.409,0.0,4.0
64294-94-6,0.453,0.469,0.531,0.039,0.172,0.62,0.169,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.214,0.0,4.0
7081-44-9,1.022,0.945,0.055,0.011,0.021,0.207,0.761,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.06,0.0,4.0
75-29-6,1.123,0.46,0.54,0.01,0.161,0.73,0.099,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.804,0.0,4.0
79-16-3,1.164,0.406,0.594,0.036,0.249,0.594,0.121,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.835,0.0,4.0
89-73-6,0.974,0.412,0.588,0.013,0.105,0.792,0.089,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.514,0.0,4.0
92-84-2,0.724,0.528,0.472,0.02,0.201,0.548,0.232,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.4,0.0,4.0
947-92-2,0.58,0.298,0.702,0.097,0.255,0.513,0.136,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.376,0.0,4.0
3485-14-1,0.949,0.828,0.172,0.018,0.028,0.313,0.641,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.167,0.0,4.0
15199-26-5,0.622,0.578,0.422,0.044,0.155,0.63,0.172,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.274,0.0,4.0
5205-82-3,0.402,0.149,0.851,0.01,0.126,0.824,0.039,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.156,0.0,4.0
38051-02-4,0.381,0.562,0.438,0.037,0.169,0.573,0.221,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,0.973,0.0,4.0
128639-02-1,0.401,0.553,0.447,0.044,0.127,0.589,0.24,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.096,0.0,4.0
10043-18-2,1.345,0.868,0.132,0.003,0.052,0.457,0.488,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,1.467,0.0,4.0
15625-89-5,0.742,0.552,0.448,0.02,0.098,0.635,0.247,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.243,0.0,4.0
1073-67-2,1.091,0.51,0.49,0.015,0.168,0.461,0.356,Nontoxic,EPA 3,InZone,InZone,InZone,Base Models,1.574,0.0,4.0
1331-28-8,1.041,0.488,0.512,0.018,0.122,0.746,0.114,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.574,0.0,4.0
67801-38-1,1.014,0.775,0.225,0.016,0.094,0.557,0.333,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.432,0.0,4.0
95-29-4,0.79,0.503,0.497,0.02,0.142,0.353,0.485,Nontoxic,EPA 4,InZone,InZone,InZone,Base Models,1.29,0.0,4.0
3737-22-2,1.109,0.82,0.18,0.012,0.045,0.634,0.31,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.318,0.0,4.0
93460-30-1,0.579,0.362,0.638,0.034,0.16,0.741,0.065,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.333,0.0,4.0
23281-95-0,1.001,0.681,0.319,0.05,0.145,0.468,0.337,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.418,0.0,4.0
101023-74-9,0.916,0.733,0.267,0.008,0.081,0.485,0.427,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.103,0.0,4.0
15386-08-0,0.123,0.183,0.817,0.086,0.392,0.456,0.066,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.365,0.0,4.0
2162-57-4,1.002,0.763,0.237,0.008,0.111,0.568,0.312,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.35,0.0,4.0
118-92-3,1.107,0.519,0.481,0.004,0.084,0.76,0.152,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.596,0.0,4.0
583-03-9,0.824,0.427,0.573,0.011,0.215,0.688,0.086,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.519,0.0,4.0
2938-98-9,1.518,0.791,0.209,0.005,0.059,0.385,0.551,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.72,0.0,4.0
1331-29-9,0.925,0.405,0.595,0.031,0.204,0.669,0.096,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.497,0.0,4.0
3021-22-5,0.657,0.655,0.345,0.012,0.119,0.507,0.363,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.215,0.0,4.0
5051-16-1,0.325,0.477,0.523,0.02,0.205,0.48,0.295,Toxic,EPA 3,InZone,InZone,InZone,Base Models,1.013,0.0,4.0
27344-41-8,0.965,0.864,0.136,0.014,0.038,0.458,0.49,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,1.032,0.0,4.0
133-67-5,0.748,0.76,0.24,0.047,0.06,0.463,0.429,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.168,0.0,4.0
70318-54-6,0.565,0.249,0.751,0.018,0.154,0.762,0.066,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.241,0.0,4.0
141-78-6,1.502,0.771,0.229,0.013,0.083,0.436,0.468,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,1.805,0.0,4.0
96-08-2,1.038,0.701,0.299,0.041,0.11,0.581,0.269,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.525,0.0,4.0
3569-57-1,0.648,0.597,0.403,0.103,0.162,0.331,0.405,Nontoxic,EPA 4,InZone,InZone,InZone,Base Models,1.375,0.0,4.0
99-83-2,1.196,0.639,0.361,0.008,0.098,0.73,0.164,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.622,0.0,4.0
50-41-9,0.948,0.745,0.255,0.01,0.059,0.219,0.712,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.151,0.0,4.0
52463-83-9,0.722,0.57,0.43,0.009,0.074,0.78,0.137,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.275,0.0,4.0
73713-65-2,0.587,0.513,0.487,0.02,0.085,0.63,0.265,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.183,0.0,4.0
2173-57-1,1.056,0.755,0.245,0.021,0.058,0.712,0.209,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.471,0.0,4.0
133-38-0,1.421,0.834,0.166,0.014,0.055,0.394,0.537,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.608,0.0,4.0
22316-47-8,0.684,0.498,0.502,0.012,0.148,0.652,0.188,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.3,0.0,4.0
3700-91-2,0.179,0.139,0.861,0.071,0.252,0.644,0.033,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.224,0.0,4.0
651-06-9,0.723,0.386,0.614,0.005,0.029,0.85,0.115,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.331,0.0,4.0
95-08-9,1.232,0.904,0.096,0.006,0.035,0.504,0.456,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.238,0.0,4.0
26377-29-7,0.475,0.048,0.952,0.065,0.185,0.723,0.027,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.583,0.0,4.0
6012-78-8,-0.044,0.621,0.379,0.197,0.074,0.409,0.32,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.184,0.0,4.0
42609-73-4,0.567,0.307,0.693,0.025,0.227,0.63,0.117,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.359,0.0,4.0
4695-62-9,1.038,0.673,0.327,0.013,0.18,0.63,0.176,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.607,0.0,4.0
2969-87-1,1.031,0.707,0.293,0.021,0.068,0.403,0.508,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.522,0.0,4.0
5436-21-5,1.345,0.79,0.21,0.007,0.046,0.639,0.308,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.671,0.0,4.0
83-64-7,1.487,0.879,0.121,0.005,0.033,0.224,0.738,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.414,0.0,4.0
13116-53-5,0.322,0.118,0.882,0.064,0.482,0.394,0.06,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,1.54,0.0,4.0
77-06-5,-0.322,0.439,0.561,0.241,0.199,0.411,0.15,Toxic,EPA 3,InZone,InZone,InZone,Base Models,1.26,0.0,4.0
1871-76-7,0.876,0.53,0.47,0.018,0.093,0.642,0.247,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.438,0.0,4.0
4702-64-1,0.934,0.758,0.242,0.017,0.049,0.372,0.562,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.229,0.0,4.0
116-52-9,0.646,0.482,0.518,0.035,0.238,0.527,0.2,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.256,0.0,4.0
302-22-7,0.534,0.826,0.174,0.023,0.036,0.584,0.357,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.199,0.0,4.0
488-23-3,1.282,0.711,0.289,0.007,0.093,0.516,0.383,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.679,0.0,4.0
13361-53-0,1.254,0.856,0.144,0.014,0.063,0.539,0.384,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.58,0.0,4.0
6362-79-4,1.113,0.926,0.074,0.005,0.021,0.86,0.114,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.418,0.0,4.0
79-20-9,1.31,0.588,0.412,0.037,0.152,0.574,0.238,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.942,0.0,4.0
112-33-4,1.414,0.832,0.168,0.006,0.066,0.416,0.512,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.6,0.0,4.0
534-15-6,1.32,0.671,0.329,0.007,0.109,0.513,0.371,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.858,0.0,4.0
27302-90-5,0.752,0.443,0.557,0.057,0.19,0.673,0.081,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.553,0.0,4.0
50776-39-1,0.506,0.398,0.602,0.028,0.216,0.642,0.114,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.269,0.0,4.0
10126-87-1,0.707,0.757,0.243,0.039,0.078,0.621,0.263,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.088,0.0,4.0
526-18-1,0.939,0.599,0.401,0.008,0.111,0.584,0.297,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.466,0.0,4.0
1982-69-0,0.675,0.334,0.666,0.009,0.3,0.574,0.118,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.486,0.0,4.0
150-84-5,1.527,0.965,0.035,0.002,0.006,0.094,0.897,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.535,0.0,4.0
6637-88-3,1.122,0.927,0.073,0.007,0.023,0.202,0.768,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.075,0.0,4.0
625-69-4,1.491,0.821,0.179,0.009,0.063,0.658,0.27,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.819,0.0,4.0
1113-04-8,0.89,0.361,0.639,0.017,0.124,0.79,0.068,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.768,0.0,4.0
100-79-8,1.081,0.687,0.313,0.026,0.183,0.497,0.294,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.724,0.0,4.0
14270-40-7,0.999,0.549,0.451,0.042,0.067,0.77,0.121,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.575,0.0,4.0
32809-16-8,0.589,0.439,0.561,0.025,0.189,0.595,0.191,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.392,0.0,4.0
60-35-5,1.261,0.411,0.589,0.044,0.204,0.606,0.146,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,2.074,0.0,4.0
10138-43-9,1.555,0.879,0.121,0.003,0.016,0.43,0.551,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.678,0.0,4.0
19089-47-5,1.45,0.808,0.192,0.005,0.045,0.724,0.226,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.834,0.0,4.0
42711-84-2,1.311,0.755,0.245,0.012,0.128,0.524,0.336,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.606,0.0,4.0
2050-46-6,0.964,0.582,0.418,0.016,0.087,0.785,0.111,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.64,0.0,4.0
105-52-2,1.279,0.893,0.107,0.011,0.033,0.591,0.365,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.412,0.0,4.0
14216-25-2,0.948,0.601,0.399,0.062,0.2,0.438,0.299,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.628,0.0,4.0
99-62-7,1.257,0.774,0.226,0.015,0.066,0.783,0.136,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.659,0.0,4.0
24902-02-1,0.71,0.475,0.525,0.046,0.141,0.621,0.192,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.525,0.0,4.0
3775-85-7,1.08,0.756,0.244,0.033,0.081,0.633,0.253,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.567,0.0,4.0
121-02-8,0.837,0.449,0.551,0.032,0.141,0.588,0.24,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.501,0.0,4.0
119-67-5,1.004,0.482,0.518,0.011,0.191,0.673,0.126,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.699,0.0,4.0
2905-23-9,0.946,0.42,0.58,0.01,0.094,0.788,0.109,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.551,0.0,4.0
56-85-9,1.418,0.796,0.204,0.005,0.048,0.369,0.578,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.71,0.0,4.0
16356-11-9,1.208,0.789,0.211,0.013,0.041,0.289,0.657,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.702,0.0,4.0
62973-76-6,0.592,0.308,0.692,0.049,0.232,0.613,0.106,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.489,0.0,4.0
108-80-5,1.03,0.603,0.397,0.031,0.132,0.522,0.314,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.776,0.0,4.0
4457-71-0,1.457,0.808,0.192,0.005,0.045,0.425,0.526,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.819,0.0,4.0
77-71-4,0.835,0.531,0.469,0.049,0.116,0.483,0.352,Nontoxic,EPA 3,InZone,InZone,InZone,Base Models,1.784,0.0,4.0
142-88-1,1.433,0.893,0.107,0.006,0.024,0.189,0.781,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.733,0.0,4.0
3615-74-5,0.507,0.302,0.698,0.042,0.148,0.709,0.101,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.431,0.0,4.0
14007-45-5,1.487,0.908,0.092,0.006,0.02,0.174,0.8,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.775,0.0,4.0
133-10-8,1.071,0.558,0.442,0.008,0.101,0.688,0.203,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.718,0.0,4.0
41905-79-7,0.727,0.651,0.349,0.038,0.09,0.51,0.363,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.417,0.0,4.0
72977-18-5,1.053,0.548,0.452,0.006,0.178,0.625,0.191,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.766,0.0,4.0
3758-54-1,0.659,0.681,0.319,0.016,0.138,0.696,0.15,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.292,0.0,4.0
312-94-7,0.787,0.462,0.538,0.024,0.113,0.707,0.157,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.595,0.0,4.0
756-79-6,0.39,0.221,0.779,0.22,0.211,0.435,0.134,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.821,0.0,4.0
80830-42-8,0.467,0.56,0.44,0.041,0.158,0.536,0.266,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.422,0.0,4.0
117-83-9,1.304,0.921,0.079,0.004,0.027,0.259,0.711,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.359,0.0,4.0
18472-87-2,-0.587,0.48,0.52,0.222,0.141,0.455,0.182,Toxic,EPA 3,InZone,InZone,InZone,Base Models,1.028,0.0,4.0
59-14-3,0.678,0.78,0.22,0.04,0.052,0.665,0.243,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.437,0.0,4.0
88-62-0,1.551,0.882,0.118,0.003,0.024,0.342,0.63,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.656,0.0,4.0
3547-33-9,1.099,0.784,0.216,0.02,0.087,0.494,0.399,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.651,0.0,4.0
22898-01-7,0.494,0.347,0.653,0.052,0.235,0.536,0.177,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.769,0.0,4.0
62637-93-8,0.732,0.365,0.635,0.142,0.216,0.492,0.15,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,2.064,0.0,4.0
730-98-3,0.555,0.328,0.672,0.029,0.184,0.687,0.099,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.542,0.0,4.0
108-29-2,1.371,0.774,0.226,0.011,0.088,0.515,0.386,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.944,0.0,4.0
6284-81-7,1.243,0.826,0.174,0.009,0.057,0.511,0.424,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.446,0.0,4.0
142-30-3,1.019,0.531,0.469,0.016,0.142,0.701,0.141,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.801,0.0,4.0
569-58-4,0.798,0.762,0.238,0.014,0.083,0.458,0.445,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.329,0.0,4.0
125-12-2,1.121,0.778,0.222,0.01,0.068,0.482,0.44,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.664,0.0,4.0
101-68-8,1.194,0.711,0.289,0.006,0.035,0.611,0.347,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.565,0.0,4.0
13009-99-9,0.939,0.574,0.426,0.014,0.174,0.682,0.129,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.694,0.0,4.0
95719-26-9,1.03,0.612,0.388,0.012,0.073,0.745,0.17,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.689,0.0,4.0
71771-90-9,0.561,0.387,0.613,0.017,0.145,0.69,0.148,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.47,0.0,4.0
32887-03-9,0.476,0.679,0.321,0.051,0.075,0.408,0.465,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,1.335,0.0,4.0
74039-02-4,1.17,0.935,0.065,0.006,0.018,0.167,0.809,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.217,0.0,4.0
35457-80-8,0.563,0.868,0.132,0.012,0.027,0.167,0.794,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.072,0.0,4.0
502-85-2,1.42,0.764,0.236,0.039,0.066,0.387,0.509,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.969,0.0,4.0
94-51-9,1.26,0.857,0.143,0.011,0.035,0.433,0.521,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.457,0.0,4.0
660-68-4,0.829,0.109,0.891,0.017,0.207,0.743,0.033,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,2.131,0.0,4.0
78-37-5,1.115,0.906,0.094,0.007,0.021,0.227,0.746,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.544,0.0,4.0
132-89-8,0.696,0.189,0.811,0.03,0.118,0.78,0.071,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.674,0.0,4.0
17804-35-2,0.628,0.619,0.381,0.033,0.097,0.737,0.133,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.537,0.0,4.0
21649-57-0,0.898,0.815,0.185,0.012,0.027,0.492,0.469,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,1.342,0.0,4.0
2440-22-4,0.652,0.417,0.583,0.02,0.101,0.716,0.162,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,1.647,0.0,4.0
32061-14-6,0.611,0.264,0.736,0.017,0.137,0.762,0.085,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,1.493,0.0,4.0
37661-08-8,0.782,0.794,0.206,0.019,0.037,0.406,0.539,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,1.332,0.0,4.0
